country,happiness_2019,happiness_2025,d_happiness,gdp_2019,gdp_2025,d_gdp,social_2019,social_2025,d_social,health_2019,health_2025,d_health,freedom_2019,freedom_2025,d_freedom,generosity_2019,generosity_2025,d_generosity,corruption_2019,corruption_2025,d_corruption,unexplained_2019,unexplained_2025,d_unexplained,d_measured_sum
Canada,7.23210000991821,6.741,-0.49110000991821057,1.30164766311646,1.917,0.6153523368835401,1.43539190292358,1.525,0.08960809707641992,1.02250194549561,0.955,-0.06750194549560995,0.644028127193451,0.948,0.3039718728065489,0.281528919935226,0.153,-0.128528919935226,0.351701855659485,0.321,-0.030701855659484967,2.1952691078186,0.923,-1.2722691078186,0.7821995856761881
Australia,7.22279977798462,6.916,-0.30679977798461966,1.31039643287659,1.937,0.62660356712341,1.47714626789093,1.497,0.019853732109070155,1.02260768413544,0.956,-0.06660768413543994,0.621877193450928,0.989,0.36712280654907203,0.324973613023758,0.159,-0.165973613023758,0.33599641919136,0.294,-0.04199641919135999,2.1298041343689,1.085,-1.0448041343689,0.7390023894309943
United Kingdom,7.16450023651123,6.694,-0.47050023651122963,1.2730610370636,1.896,0.6229389629363999,1.45784497261047,1.458,0.0001550273895298826,0.975700080394745,0.888,-0.08770008039474497,0.525168657302856,0.962,0.43683134269714397,0.373433440923691,0.191,-0.18243344092369101,0.322601646184921,0.291,-0.031601646184921006,2.23672199249268,1.008,-1.2287219924926798,0.7581901655197169
Israel,7.12860012054443,7.187,0.058399879455570236,1.21646368503571,1.867,0.65053631496429,1.40325677394867,1.606,0.20274322605133,1.00805294513702,0.925,-0.08305294513701988,0.42069947719574,0.863,0.44230052280425997,0.266861796379089,0.139,-0.127861796379089,0.09989845007658,0.196,0.09610154992342,2.7133584022522,1.592,-1.1213584022521998,1.180766872227191
Costa Rica,7.12139987945557,7.439,0.3176001205444301,0.981107711791992,1.697,0.7158922882080081,1.37485361099243,1.483,0.10814638900757001,0.939635336399078,0.739,-0.20063533639907805,0.645017743110657,1.101,0.455982256889343,0.131266310811043,0.059,-0.07226631081104301,0.0963620916008949,0.122,0.025637908399105097,2.95313501358032,2.236,-0.7171350135803198,1.0327571952939052
Ireland,7.09369993209839,6.928,-0.16569993209838962,1.44688677787781,2.146,0.6991132221221898,1.47059643268585,1.558,0.08740356731415,0.975670695304871,0.936,-0.039670695304870995,0.587779939174652,1.032,0.44422006082534804,0.295426994562149,0.172,-0.123426994562149,0.373433262109756,0.364,-0.009433262109756035,1.94387817382813,0.72,-1.2238781738281301,1.0582058982849119
Germany,7.0757999420166,6.882,-0.1937999420166001,1.31418454647064,1.948,0.6338154535293599,1.36854374408722,1.49,0.12145625591278009,0.97211480140686,0.876,-0.09611480140686002,0.56427413225174,0.948,0.38372586774826,0.252037703990936,0.145,-0.10703770399093601,0.309362292289734,0.349,0.03963770771026598,2.29524946212769,1.128,-1.16724946212769,0.9754827795028699
United States,6.93959999084473,6.816,-0.12359999084473028,1.37398684024811,2.002,0.6280131597518899,1.40478670597076,1.516,0.11121329402924007,0.831618010997772,0.678,-0.15361801099777195,0.534608244895935,0.776,0.24139175510406508,0.298143059015274,0.155,-0.143143059015274,0.152284741401672,0.155,0.0027152585983279964,2.34412479400635,1.534,-0.8101247940063498,0.686572397470477
Czechia,6.9109001159668,6.821,-0.0899001159668007,1.21232235431671,1.869,0.6566776456832899,1.40528666973114,1.594,0.18871333026886017,0.89456444978714,0.72,-0.17456444978714003,0.505744576454163,1.045,0.5392554235458369,0.0463259294629097,0.106,0.0596740705370903,0.0498032234609127,0.081,0.031196776539087305,2.79680824279785,1.405,-1.3918082427978498,1.3009527967870247
Belgium,6.86350011825562,6.926,0.06249988174438048,1.29584276676178,1.951,0.6551572332382201,1.39867758750916,1.52,0.12132241249084008,0.964901149272919,0.988,0.023098850727080955,0.499805420637131,0.99,0.490194579362869,0.146966159343719,0.107,-0.03996615934371901,0.208724051713943,0.296,0.08727594828605698,2.34862661361694,1.074,-1.2746266136169397,1.337082864761348
