country,year,happiness,gdp,social,health,freedom,generosity,corruption,unexplained
Bolivia,2025,5.835,1.442,1.2,0.36,0.909,0.059,0.038,1.827
Russian Federation,2025,5.834,1.821,1.331,0.505,0.809,0.112,0.133,1.122
Libya,2025,5.731,1.48,1.136,0.619,0.865,0.099,0.245,1.286
North Macedonia,2025,5.719,1.665,1.448,0.581,0.74,0.124,0.013,1.149
Algeria,2025,5.714,1.535,1.275,0.964,0.933,0.057,0.113,0.837
Bulgaria,2025,5.703,1.768,1.587,0.47,0.881,0.059,0.003,0.935
Greece,2025,5.697,1.795,1.257,0.799,0.478,0.023,0.064,1.282
Albania,2025,5.662,1.631,1.026,0.782,1.014,0.106,0.06,1.043
Indonesia,2025,5.617,1.512,1.229,0.485,1.043,0.295,0.033,1.02
Armenia,2025,5.584,1.608,1.225,1.05,0.914,0.026,0.152,0.608
Hong Kong SAR of China,2025,5.569,1.96,1.33,1.238,0.852,0.09,0.395,-0.295
Georgia,2025,5.517,1.669,1.201,0.5,0.988,0.0,0.161,0.998
Lao PDR,2025,5.515,1.357,0.866,0.554,1.065,0.134,0.174,1.366
Mozambique,2025,5.336,0.839,1.018,0.126,0.888,0.116,0.165,2.182
Türkiye,2025,5.3,1.785,1.313,0.692,0.363,0.046,0.099,1.002
Iraq,2025,5.212,1.477,1.127,0.704,0.615,0.087,0.084,1.117
Gabon,2025,5.167,1.591,1.003,0.45,0.829,0.043,0.092,1.159
Iran,2025,5.151,1.565,1.249,0.693,0.599,0.189,0.124,0.733
Côte d’Ivoire,2025,5.148,1.285,0.694,0.45,0.84,0.1,0.176,1.604
Nepal,2025,5.147,1.2,1.099,0.508,0.887,0.117,0.075,1.26
Cameroon,2025,5.083,1.191,0.9,0.348,0.821,0.094,0.055,1.675
South Africa,2025,5.009,1.494,1.285,0.101,0.825,0.064,0.064,1.176
Azerbaijan,2025,4.993,1.636,0.979,0.847,0.935,0.058,0.198,0.34
Niger,2025,4.94,0.89,0.651,0.3,0.9,0.121,0.115,1.964
Pakistan,2025,4.868,1.224,0.556,0.489,0.564,0.144,0.071,1.819
Tunisia,2025,4.798,1.475,1.043,0.442,0.652,0.038,0.071,1.078
Nigeria,2025,4.788,1.335,1.083,0.462,0.735,0.151,0.036,0.986
Senegal,2025,4.787,1.164,0.882,0.48,0.922,0.114,0.113,1.111
Namibia,2025,4.781,1.41,1.411,0.038,0.67,0.048,0.058,1.145
Kenya,2025,4.674,1.242,0.879,0.518,0.798,0.207,0.093,0.936
Ukraine,2025,4.658,1.547,1.303,0.498,0.722,0.222,0.008,0.358
Morocco,2025,4.646,1.376,0.401,0.674,0.844,0.035,0.086,1.229
Guinea,2025,4.609,1.132,0.622,0.364,0.866,0.141,0.102,1.381
Mali,2025,4.588,1.036,0.779,0.381,0.904,0.078,0.105,1.305
Ghana,2025,4.554,1.297,0.961,0.507,0.932,0.123,0.035,0.699
India,2025,4.536,1.397,0.732,0.298,1.015,0.121,0.124,0.848
Somalia,2025,4.508,0.818,0.791,0.035,0.928,0.155,0.218,1.562
Uganda,2025,4.491,1.032,1.181,0.449,0.924,0.14,0.043,0.722
Jordan,2025,4.478,1.388,1.055,0.606,0.853,0.053,0.174,0.348
Mauritania,2025,4.473,1.272,0.787,0.593,0.593,0.109,0.188,0.931
Cambodia,2025,4.462,1.295,1.075,0.531,1.123,0.148,0.088,0.201
Congo,2025,4.456,1.259,0.554,0.391,0.751,0.074,0.123,1.304
Burkina Faso,2025,4.455,0.995,0.63,0.343,0.82,0.135,0.253,1.28
Benin,2025,4.393,1.122,0.087,0.409,0.816,0.086,0.243,1.63
Chad,2025,4.385,0.979,0.676,0.292,0.571,0.151,0.116,1.6
Lesotho,2025,4.375,1.007,1.135,0.0,0.741,0.057,0.069,1.365
Bangladesh,2025,4.319,1.353,0.245,0.672,1.078,0.111,0.087,0.774
Gambia,2025,4.306,1.05,0.853,0.393,0.807,0.223,0.042,0.938
Myanmar,2025,4.287,1.211,0.977,0.488,0.722,0.292,0.16,0.436
Liberia,2025,4.28,0.867,0.815,0.386,0.796,0.125,0.066,1.225
Togo,2025,4.277,1.039,0.572,0.442,0.682,0.085,0.144,1.314
Madagascar,2025,4.174,0.867,0.71,0.393,0.38,0.118,0.116,1.59
Zambia,2025,4.106,1.109,0.861,0.25,0.991,0.139,0.101,0.654
Sri Lanka,2025,4.013,1.496,1.13,0.567,0.872,0.111,0.059,-0.222
Ethiopia,2025,3.985,1.033,0.854,0.453,0.653,0.144,0.097,0.753
Comoros,2025,3.925,1.089,0.352,0.468,0.373,0.118,0.172,1.352
Eswatini,2025,3.909,1.41,1.036,0.044,0.579,0.055,0.137,0.647
Tanzania,2025,3.902,1.108,0.778,0.459,1.006,0.145,0.251,0.155
Egypt,2025,3.862,1.558,0.862,0.521,0.727,0.022,0.097,0.074
DR Congo,2025,3.761,0.857,0.792,0.321,0.72,0.146,0.066,0.86
Lebanon,2025,3.723,1.428,1.05,0.416,0.434,0.074,0.057,0.265
Yemen,2025,3.532,0.692,1.292,0.431,0.549,0.084,0.109,0.374
Botswana,2025,3.464,1.582,0.989,0.017,0.86,0.022,0.093,-0.099
Zimbabwe,2025,3.346,1.213,0.782,0.189,0.729,0.056,0.128,0.251
Malawi,2025,3.284,0.864,0.326,0.299,0.812,0.109,0.143,0.73
Sierra Leone,2025,3.251,1.054,0.692,0.405,0.8,0.131,0.052,0.117
Afghanistan,2025,1.446,0.921,0.0,0.176,0.0,0.079,0.131,0.139
